txn_id,diagnosis,reason_code,explanation,action_taken,confidence
TXNHIST001,ledger_gap,LEDGER_ENTRY_ABSENT_DESPITE_SETTLEMENT,"Gateway captured and the bank settled, but no ledger entry was written. The missing entry was created from the settled amount.",ledger_entry_created,high
TXNHIST002,anomaly,BANK_NO_RECORD_PAST_SETTLEMENT_WINDOW,"Gateway captured the payment but the bank has no settlement record past the expected window. Cause could not be determined from the available sources, so the case was escalated.",escalated,low_flagged_for_review
TXNHIST003,amount_mismatch,AMOUNT_DISAGREEMENT_ACROSS_SOURCES,"The gateway and the bank report different amounts for the same transaction. The discrepancy is certain but cannot be corrected automatically, so it was escalated.",escalated,high
TXNHIST004,pending,BANK_PENDING_WITHIN_SETTLEMENT_WINDOW,Settlement is still inside the expected window. No action was needed.,no_action_needed,high
TXNHIST005,clean,ALL_SOURCES_AGREE,"Gateway, bank, and ledger all agree. Settlement completed normally.",auto_resolved,high
TXNHIST006,ledger_gap,LEDGER_ENTRY_ABSENT_DESPITE_SETTLEMENT,"Gateway captured and the bank settled, but no ledger entry was written. The missing entry was created from the settled amount.",ledger_entry_created,high
TXNHIST007,anomaly,BANK_NO_RECORD_PAST_SETTLEMENT_WINDOW,"Gateway captured the payment but the bank has no settlement record past the expected window. Cause could not be determined from the available sources, so the case was escalated.",escalated,low_flagged_for_review
TXNHIST008,amount_mismatch,AMOUNT_DISAGREEMENT_ACROSS_SOURCES,"The gateway and the bank report different amounts for the same transaction. The discrepancy is certain but cannot be corrected automatically, so it was escalated.",escalated,high
TXNHIST009,pending,BANK_PENDING_WITHIN_SETTLEMENT_WINDOW,Settlement is still inside the expected window. No action was needed.,no_action_needed,high
TXNHIST010,clean,ALL_SOURCES_AGREE,"Gateway, bank, and ledger all agree. Settlement completed normally.",auto_resolved,high
TXNHIST011,ledger_gap,LEDGER_ENTRY_ABSENT_DESPITE_SETTLEMENT,"Gateway captured and the bank settled, but no ledger entry was written. The missing entry was created from the settled amount.",ledger_entry_created,high
TXNHIST012,anomaly,BANK_NO_RECORD_PAST_SETTLEMENT_WINDOW,"Gateway captured the payment but the bank has no settlement record past the expected window. Cause could not be determined from the available sources, so the case was escalated.",escalated,low_flagged_for_review
TXNHIST013,amount_mismatch,AMOUNT_DISAGREEMENT_ACROSS_SOURCES,"The gateway and the bank report different amounts for the same transaction. The discrepancy is certain but cannot be corrected automatically, so it was escalated.",escalated,high
TXNHIST014,pending,BANK_PENDING_WITHIN_SETTLEMENT_WINDOW,Settlement is still inside the expected window. No action was needed.,no_action_needed,high
TXNHIST015,clean,ALL_SOURCES_AGREE,"Gateway, bank, and ledger all agree. Settlement completed normally.",auto_resolved,high
TXNHIST016,ledger_gap,LEDGER_ENTRY_ABSENT_DESPITE_SETTLEMENT,"Gateway captured and the bank settled, but no ledger entry was written. The missing entry was created from the settled amount.",ledger_entry_created,high
TXNHIST017,anomaly,BANK_NO_RECORD_PAST_SETTLEMENT_WINDOW,"Gateway captured the payment but the bank has no settlement record past the expected window. Cause could not be determined from the available sources, so the case was escalated.",escalated,low_flagged_for_review
TXNHIST018,amount_mismatch,AMOUNT_DISAGREEMENT_ACROSS_SOURCES,"The gateway and the bank report different amounts for the same transaction. The discrepancy is certain but cannot be corrected automatically, so it was escalated.",escalated,high
TXNHIST019,pending,BANK_PENDING_WITHIN_SETTLEMENT_WINDOW,Settlement is still inside the expected window. No action was needed.,no_action_needed,high
TXNHIST020,clean,ALL_SOURCES_AGREE,"Gateway, bank, and ledger all agree. Settlement completed normally.",auto_resolved,high
